latitude,longitude,reference_mgal,notebook_baseline_mgal,notebook_prediction_mgal
43.95625,42.09375,159.83,129.93799,163.26607
43.95625,42.10625,150.76,122.43786,154.90921
43.95625,42.11875,160.18,129.96576,163.76347
43.95625,42.13125,150.42,122.18499,154.6963
43.95625,42.14375,159.07,129.24463,162.02585
43.95625,42.15625,149.72,123.19639,153.7952
43.95625,42.16875,160.36,132.59589,163.2791
43.95625,42.18125,160.96,135.36055,165.66147
43.95625,42.19375,183.6,155.52486,188.14832
43.95625,42.20625,176.57,149.54666,182.29533
43.95625,42.21875,164.48,137.81525,167.52682
43.95625,42.23125,158.54,130.84572,160.4543
43.95625,42.24375,163.98,135.5097,164.01573
43.95625,42.25625,156.16,127.56747,158.86333
43.95625,42.26875,148.46,120.92454,151.52765
43.95625,42.28125,142.81,115.354,147.59007
43.95625,42.29375,139.68,111.83785,144.04883
43.95625,42.30625,138.52,110.67252,142.33344
43.95625,42.31875,146.09,117.401985,147.55496
43.95625,42.33125,147.77,120.82943,150.7548
43.95625,42.34375,155.37,130.06628,159.4305
43.95625,42.35625,176.06,147.70259,178.6252
43.95625,42.36875,178.32,149.17099,181.28918
43.95625,42.38125,166.68,139.48035,170.68233
43.95625,42.39375,165.18,137.6218,168.38585
43.95625,42.40625,161.48,133.83481,163.88017
43.95625,42.41875,169.58,141.21869,170.9808
43.95625,42.43125,169.23,140.29158,169.6267
43.95625,42.44375,164.31,134.56392,167.31006
43.95625,42.45625,152.09,124.0246,153.64323
43.95625,42.46875,153.28,124.66797,154.09183
43.95625,42.48125,149.09,121.19288,149.49245
43.95625,42.49375,147.4,119.36028,147.461
43.95625,42.50625,139.22,111.793724,139.1247
43.95625,42.51875,133.02,105.57546,135.61934
43.95625,42.53125,131.13,103.596825,136.45393
43.95625,42.54375,130.07,102.214775,134.82759
43.95625,42.55625,128.33,100.69335,132.6169
43.95625,42.56875,126.24,99.371315,131.46082
43.95625,42.58125,126.16,98.98675,130.39717
43.95625,42.59375,127.57,99.67477,131.0719
43.95625,42.60625,126.06,98.503044,129.25923
43.95625,42.61875,125.92,98.13378,128.8066
43.95625,42.63125,126.71,98.727974,127.241394
43.95625,42.64375,128.1,100.06228,128.31659
43.95625,42.65625,129.9,101.87117,130.2096
43.95625,42.66875,134.12,106.219696,133.83469
43.95625,42.68125,142.23,114.1654,142.93129
43.95625,42.69375,158.68,130.29346,160.93512
43.95625,42.70625,156.89,129.0621,158.04407
43.95625,42.71875,135.44,109.67985,134.62825
43.95625,42.73125,132.7,106.10289,133.8114
43.95625,42.74375,121.24,93.74503,121.03718
43.95625,42.75625,111.38,84.42606,111.5613
43.95625,42.76875,105.14,80.6279,108.90767
43.95625,42.78125,112.29,86.499725,115.343475
43.95625,42.79375,129.39,102.283325,129.12233
43.95625,42.80625,136.34,108.33724,136.57452
43.95625,42.81875,135.16,107.419044,136.41489
43.95625,42.83125,141.73,111.66691,142.80983
43.95625,42.84375,139.35,109.3672,141.30182
43.95625,42.85625,139.2,108.878075,142.03874
43.95625,42.86875,136.39,106.31675,139.15775
43.95625,42.88125,125.13,96.79444,128.2586
43.95625,42.89375,123.44,95.40426,126.899124
43.95625,42.90625,125.1,97.05867,128.40651
43.95625,42.91875,128.13,98.162895,129.57385
43.95625,42.93125,128.33,97.968285,129.90134
43.95625,42.94375,126.86,96.197334,128.70242
43.95625,42.95625,125.36,95.25803,128.38885
43.95625,42.96875,122.01,92.75202,126.075134
43.95625,42.98125,118.52,89.90212,123.695145
43.95625,42.99375,112.53,88.73459,105.187515
43.94375,42.00625,164.87,136.69371,168.89844
43.94375,42.01875,166.51,137.233,169.40678
43.94375,42.03125,151.15,123.52042,151.69005
43.94375,42.04375,136.92,112.02941,139.99686
43.94375,42.05625,140.86,116.37799,144.6699
43.94375,42.06875,162.75,132.96292,166.47221
43.94375,42.08125,161.87,132.33858,165.08592
43.94375,42.09375,162.16,133.32443,166.0243
43.94375,42.10625,164.83,134.96053,168.06822
43.94375,42.11875,161.33,132.60307,165.56827
43.94375,42.13125,155.26,128.55591,160.64569
43.94375,42.14375,161.56,132.71065,165.41507
43.94375,42.15625,165.92,137.98508,170.10817
43.94375,42.16875,169.45,141.254,172.73248
43.94375,42.18125,174.65,146.4892,178.89655
43.94375,42.19375,178.58,150.22562,184.18704
43.94375,42.20625,177.95,149.12012,182.7897
43.94375,42.21875,167.47,139.30675,172.61368
43.94375,42.23125,157.95,130.68143,163.6195
43.94375,42.24375,153.99,126.36717,159.69217
43.94375,42.25625,147.37,121.16147,152.84854
43.94375,42.26875,148.68,120.65528,152.8527
43.94375,42.28125,140.07,114.25598,145.1469
43.94375,42.29375,150.57,122.0454,153.60571
43.94375,42.30625,148.2,119.89077,151.77791
43.94375,42.31875,153.49,124.192444,155.71867
43.94375,42.33125,155.98,127.51052,158.3746
43.94375,42.34375,156.82,130.16125,160.95087
43.94375,42.35625,171.78,144.20427,176.2538
43.94375,42.36875,183.64,154.15656,189.81781
43.94375,42.38125,175.27,146.17932,179.62193
43.94375,42.39375,162.48,135.08356,167.4031
43.94375,42.40625,163.3,134.10489,166.65976
43.94375,42.41875,160.46,130.7891,163.68402
43.94375,42.43125,150.01,122.224686,153.52098
43.94375,42.44375,150.18,121.58068,153.27164
43.94375,42.45625,148.86,119.70529,152.46185
43.94375,42.46875,147.1,117.84852,152.39734
43.94375,42.48125,140.1,112.284584,145.78955
43.94375,42.49375,136.33,108.71835,142.43777
43.94375,42.50625,135.68,107.582886,140.83064
43.94375,42.51875,135.11,106.6925,141.33601
43.94375,42.53125,137.07,108.783676,140.81287
43.94375,42.54375,138.36,109.57636,141.55432
43.94375,42.55625,132.12,103.64063,136.54884
